Row ID,Order ID,Product ID,Sales,Quantity
1,CA-2017-152156,FUR-BO-10001798,261.96,1
2,CA-2017-152156,FUR-CH-10000454,731.94,1
3,CA-2017-138688,OFF-LA-10000240,14.62,1
4,US-2016-108966,FUR-TA-10000577,957.5775,1
5,US-2016-108966,OFF-ST-10000760,22.368,1
6,CA-2015-115812,FUR-FU-10001487,48.86,1
7,CA-2015-115812,OFF-AR-10002833,7.28,1
8,CA-2015-115812,TEC-PH-10002275,907.152,1
9,CA-2015-115812,OFF-BI-10003910,18.504,1
10,CA-2015-115812,OFF-AP-10002892,114.9,1
11,CA-2015-115812,FUR-TA-10001539,1706.184,1
12,CA-2015-115812,TEC-PH-10002033,911.424,1
13,CA-2018-114412,OFF-PA-10002365,15.552,1
14,CA-2017-161389,OFF-BI-10003656,407.976,1
15,US-2016-118983,OFF-AP-10002311,68.81,1
16,US-2016-118983,OFF-BI-10000756,2.544,1
17,CA-2015-105893,OFF-ST-10004186,665.88,1
18,CA-2015-167164,OFF-ST-10000107,55.5,1
19,CA-2015-143336,OFF-AR-10003056,8.56,1
20,CA-2015-143336,TEC-PH-10001949,213.48,1
21,CA-2015-143336,OFF-BI-10002215,22.72,1
22,CA-2017-137330,OFF-AR-10000246,19.46,1
23,CA-2017-137330,OFF-AP-10001492,60.34,1
24,US-2018-156909,FUR-CH-10002774,71.372,1
25,CA-2016-106320,FUR-TA-10000577,1044.63,1
26,CA-2017-121755,OFF-BI-10001634,11.648,1
27,CA-2017-121755,TEC-AC-10003027,90.57,1
28,US-2016-150630,FUR-BO-10004834,3083.43,1
29,US-2016-150630,OFF-BI-10000474,9.618,1
30,US-2016-150630,FUR-FU-10004848,124.2,1
31,US-2016-150630,OFF-EN-10001509,3.264,1
32,US-2016-150630,OFF-AR-10004042,86.304,1
33,US-2016-150630,OFF-BI-10001525,6.858,1
34,US-2016-150630,OFF-AR-10001683,15.76,1
35,CA-2018-107727,OFF-PA-10000249,29.472,1
36,CA-2017-117590,TEC-PH-10004977,1097.544,1
37,CA-2017-117590,FUR-FU-10003664,190.92,1
38,CA-2016-117415,OFF-EN-10002986,113.328,1
39,CA-2016-117415,FUR-BO-10002545,532.3992,1
40,CA-2016-117415,FUR-CH-10004218,212.058,1
41,CA-2016-117415,TEC-PH-10000486,371.168,1
42,CA-2018-120999,TEC-PH-10004093,147.168,1
43,CA-2017-101343,OFF-ST-10003479,77.88,1
44,CA-2018-139619,OFF-ST-10003282,95.616,1
45,CA-2017-118255,TEC-AC-10000171,45.98,1
46,CA-2017-118255,OFF-BI-10003291,17.46,1
47,CA-2015-146703,OFF-ST-10001713,211.96,1
48,CA-2017-169194,TEC-AC-10002167,45.0,1
49,CA-2017-169194,TEC-PH-10003988,21.8,1
50,CA-2016-115742,OFF-BI-10004410,38.22,1
51,CA-2016-115742,OFF-LA-10002762,75.18,1
52,CA-2016-115742,FUR-FU-10001706,6.16,1
53,CA-2016-115742,FUR-CH-10003061,89.99,1
54,CA-2017-105816,OFF-FA-10000304,15.26,1
55,CA-2017-105816,TEC-PH-10002447,1029.95,1
56,CA-2017-111682,OFF-ST-10000604,208.56,1
57,CA-2017-111682,OFF-PA-10001569,32.4,1
58,CA-2017-111682,FUR-CH-10003968,319.41,1
59,CA-2017-111682,OFF-PA-10000587,14.56,1
60,CA-2017-111682,TEC-AC-10002167,30.0,1
61,CA-2017-111682,OFF-BI-10001460,48.48,1
62,CA-2017-111682,OFF-AR-10001868,1.68,1
63,CA-2016-135545,TEC-AC-10004633,13.98,1
64,CA-2016-135545,OFF-BI-10001078,25.824,1
65,CA-2016-135545,OFF-PA-10003892,146.73,1
66,CA-2016-135545,FUR-FU-10000397,79.76,1
67,US-2016-164175,FUR-CH-10001146,213.115,1
68,CA-2015-106376,OFF-AR-10002671,1113.024,1
69,CA-2015-106376,TEC-PH-10002726,167.968,1
70,CA-2017-119823,OFF-PA-10000482,75.88,1
71,CA-2017-106075,OFF-BI-10004654,4.616,1
72,CA-2018-114440,OFF-PA-10004675,19.05,1
73,US-2016-134026,FUR-CH-10000513,831.936,1
74,US-2016-134026,FUR-FU-10003708,97.04,1
75,US-2016-134026,OFF-ST-10004123,72.784,1
76,US-2018-118038,OFF-BI-10004182,1.248,1
77,US-2018-118038,FUR-FU-10000260,9.708,1
78,US-2018-118038,OFF-ST-10000615,27.24,1
79,US-2015-147606,FUR-FU-10003194,19.3,1
80,CA-2017-127208,OFF-AP-10002118,208.16,1
81,CA-2017-127208,OFF-BI-10002309,16.74,1
82,CA-2015-139451,OFF-AR-10002053,14.9,1
83,CA-2015-139451,OFF-ST-10002370,21.39,1
84,CA-2016-149734,OFF-EN-10000927,200.984,1
85,US-2018-119662,OFF-ST-10003656,230.376,1
86,CA-2018-140088,FUR-CH-10000863,301.96,1
87,CA-2018-155558,TEC-AC-10001998,19.99,1
88,CA-2018-155558,OFF-LA-10000134,6.16,1
89,CA-2017-159695,OFF-ST-10003442,158.368,1
90,CA-2017-109806,OFF-AR-10004930,20.1,1
91,CA-2017-109806,TEC-PH-10004093,73.584,1
92,CA-2017-109806,OFF-PA-10000304,6.48,1
93,CA-2016-149587,OFF-PA-10003177,12.96,1
94,CA-2016-149587,FUR-FU-10003799,53.34,1
95,CA-2016-149587,OFF-BI-10002852,32.96,1
96,US-2018-109484,OFF-BI-10004738,5.682,1
97,CA-2018-161018,FUR-FU-10000629,96.53,1
98,CA-2018-157833,OFF-BI-10001721,51.312,1
99,CA-2017-149223,OFF-AP-10000358,77.88,1
100,CA-2017-158568,OFF-PA-10003256,64.624,1
101,CA-2017-158568,TEC-AC-10001767,95.976,1
102,CA-2017-158568,OFF-BI-10002609,1.788,1
103,CA-2017-129903,OFF-PA-10004040,23.92,1
104,US-2016-156867,TEC-AC-10001552,238.896,1
105,US-2016-156867,FUR-FU-10004006,102.36,1
106,US-2016-156867,OFF-BI-10002794,36.882,1
107,CA-2018-119004,TEC-AC-10003499,74.112,1
108,CA-2018-119004,TEC-PH-10002844,27.992,1
109,CA-2018-119004,OFF-AR-10000390,3.304,1
110,CA-2016-129476,TEC-AC-10000844,339.96,1
111,CA-2018-146780,FUR-FU-10001934,41.96,1
112,CA-2017-128867,OFF-AR-10000380,75.96,1
113,CA-2017-128867,OFF-BI-10003981,27.24,1
114,CA-2015-115259,OFF-FA-10000621,40.096,1
115,CA-2015-115259,OFF-EN-10002600,4.72,1
116,CA-2015-115259,OFF-PA-10004965,23.976,1
117,CA-2015-115259,OFF-EN-10002504,130.464,1
118,CA-2016-110457,FUR-TA-10001768,787.53,1
119,US-2016-136476,OFF-BI-10003650,157.794,1
120,CA-2017-103730,FUR-FU-10002157,47.04,1
121,CA-2017-103730,OFF-BI-10003910,30.84,1
122,CA-2017-103730,OFF-ST-10000777,226.56,1
123,CA-2017-103730,OFF-EN-10002500,115.02,1
124,CA-2017-103730,TEC-PH-10003875,68.04,1
125,US-2015-152030,FUR-CH-10004063,600.558,1
126,US-2015-134614,FUR-TA-10004534,617.7,1
127,US-2018-107272,OFF-BI-10003274,2.388,1
128,US-2018-107272,OFF-ST-10002974,243.992,1
129,US-2017-125969,FUR-CH-10001146,81.424,1
130,US-2017-125969,FUR-FU-10003773,238.56,1
131,US-2018-164147,TEC-PH-10002293,59.97,1
132,US-2018-164147,OFF-PA-10002377,78.304,1
133,US-2018-164147,OFF-FA-10002780,21.456,1
134,CA-2017-145583,OFF-PA-10001804,20.04,1
135,CA-2017-145583,OFF-PA-10001736,35.44,1
136,CA-2017-145583,OFF-AR-10001149,11.52,1
137,CA-2017-145583,OFF-FA-10002988,4.02,1
138,CA-2017-145583,OFF-BI-10004781,76.176,1
139,CA-2017-145583,OFF-SU-10001218,65.88,1
140,CA-2017-145583,FUR-FU-10001706,43.12,1
141,CA-2017-110366,FUR-FU-10004848,82.8,1
142,CA-2018-106180,OFF-AR-10000940,8.82,1
143,CA-2018-106180,OFF-EN-10004030,10.86,1
144,CA-2018-106180,OFF-PA-10004327,143.7,1
145,CA-2018-155376,OFF-AP-10001058,839.43,1
146,CA-2016-110744,OFF-ST-10003656,671.93,1
147,CA-2015-110072,FUR-FU-10000521,93.888,1
148,CA-2017-114489,TEC-PH-10000215,384.45,1
149,CA-2017-114489,TEC-PH-10001448,149.97,1
150,CA-2017-114489,FUR-CH-10000454,1951.84,1
151,CA-2017-114489,OFF-BI-10002735,171.55,1
152,CA-2017-158834,OFF-AP-10000326,157.92,1
153,CA-2017-158834,TEC-PH-10001254,203.184,1
154,CA-2016-124919,OFF-PA-10001950,58.38,1
155,CA-2016-124919,OFF-PA-10002254,105.52,1
156,CA-2016-124919,OFF-ST-10001590,80.88,1
157,CA-2016-118948,OFF-AR-10001547,6.63,1
158,CA-2015-104269,FUR-CH-10004063,457.568,1
159,CA-2017-114104,OFF-LA-10002475,14.62,1
160,CA-2017-114104,TEC-PH-10004536,944.93,1
161,CA-2017-162733,OFF-PA-10002751,5.98,1
